,Title,Rating,Reviews,Brief_Description,Image_Url,WikipediaLink
0,Maasai Mara,4.8,110,Wildebeest migration & Maasai villages,,https://en.wikipedia.org/wiki/Maasai_Mara
1,Amboseli National Park,4.7,"2,791",Elephants & views of Mount Kilimanjaro,,https://en.wikipedia.org/wiki/Amboseli_National_Park
2,Lake Nakuru,4.3,166,Lake with flamingos in a national park,,https://en.wikipedia.org/wiki/Lake_Nakuru
3,Tsavo East National Park,4.5,"4,886",Sprawling wildlife reserve since 1948,,https://en.wikipedia.org/wiki/Tsavo_East_National_Park
4,Mount Kenya,4.4,206,Mountain peak with trails & camping,,https://en.wikipedia.org/wiki/Mount_Kenya
5,Nairobi National Park,4.5,"7,943","Safaris amid lions, leopards & giraffes",,https://en.wikipedia.org/wiki/Nairobi_National_Park
6,Samburu National Reserve,4.5,457,Conservation area teeming with wildlife,,https://en.wikipedia.org/wiki/Samburu_National_Reserve
7,Diani Beach,4.6,492,White-sand beach in a tropical locale,,https://en.wikipedia.org/wiki/Diani_Beach
8,Hell's Gate National Park,4.5,"2,605",Savannah ecosystem with rock climbing,,https://en.wikipedia.org/wiki/Hell's_Gate_National_Park
9,Giraffe Centre,4.6,"7,403",Rescue center for giraffes & nature park,,https://en.wikipedia.org/wiki/Giraffe_Centre
10,Tsavo West National Park,4.5,"2,887",Wilderness park for wild game viewing,,https://en.wikipedia.org/wiki/Tsavo_West_National_Park
11,Aberdare National Park,4.4,"3,308",National park with trails & game viewing,,https://en.wikipedia.org/wiki/Aberdare_National_Park
12,Karen Blixen Museum,4.4,"1,701",'Out Of Africa' author Blixen's old home,,https://en.wikipedia.org/wiki/Karen_Blixen_Museum
13,Mount Kenya National Park,4.3,"4,136","Park, mountain, climbing, safari, and forest",,https://en.wikipedia.org/wiki/Mount_Kenya_National_Park
14,Lake Nakuru National Park,4.4,"3,734",National park with soda lake & wildlife,,https://en.wikipedia.org/wiki/Lake_Nakuru_National_Park
15,Mount Longonot,4.5,178,Inactive volcano with a summit hike,,https://en.wikipedia.org/wiki/Mount_Longonot
16,Lake Bogoria,4.1,155,"Lake, phoenicopterus, safari, maasai people, and geyser",,https://en.wikipedia.org/wiki/Lake_Bogoria
17,Shimba Hills National Reserve,4.2,610,Protected area harboring rare wildlife,,https://en.wikipedia.org/wiki/Shimba_Hills_National_Reserve
18,Ol Pejeta Conservancy,4.5,880,Animal preserve with game drives,,https://en.wikipedia.org/wiki/Ol_Pejeta_Conservancy
19,Meru National Park,4.2,359,"Park, safari, rhinoceros, wilderness, and elephant",,https://en.wikipedia.org/wiki/Meru_National_Park
20,Wasini Island,4.5,233,"Dolphin, snorkeling, safari, coral reef, and scuba diving",,https://en.wikipedia.org/wiki/Wasini_Island
21,Haller Park,4.3,"3,519",Coastal nature park with various animals,,https://en.wikipedia.org/wiki/Haller_Park
22,Lake Elmenteita,4.4,62,"Lake, safari, pelican, maasai people, and safari lodge",,https://en.wikipedia.org/wiki/Lake_Elmenteita
23,Lewa Wildlife Conservancy,4.5,709,Conservation area with protected species,,https://en.wikipedia.org/wiki/Lewa_Wildlife_Conservancy
24,Ngong Hills,4.5,225,Natural area known for hiking & views,,https://en.wikipedia.org/wiki/Ngong_Hills
25,Ruins of Gedi,4.4,578,Historic walled city with a palace,,https://en.wikipedia.org/wiki/Ruins_of_Gedi
26,Buffalo Springs National Reserve,4.5,425,"Safari, nature reserve, african buffalo, giraffe, and zebra",,https://en.wikipedia.org/wiki/Buffalo_Springs_National_Reserve
27,Nairobi Safari Walk,4.4,"3,762",Wooden boardwalk across a safari park,,https://en.wikipedia.org/wiki/Nairobi_Safari_Walk
28,Shaba National Reserve,4.4,238,Well-known nature preserve with wildlife,,https://en.wikipedia.org/wiki/Shaba_National_Reserve
29,Karura Teracess,4.5,"1,822",Natural area for hiking & picnicking,,https://en.wikipedia.org/wiki/Karura_Teracess
30,Watamu Beach,4.5,271,Calm beach known for sea life & corals,,https://en.wikipedia.org/wiki/Watamu_Beach
31,Kisite-Mpunguti Marine National Park,4.6,475,"Park, snorkeling, dolphin, nature reserve, and safari",https://lh5.googleusercontent.com/p/AF1QipPCIPhFigfN2RFJFJjGENSKDWhqT4HEcY0okh0=w464-h260-n-k-no,https://en.wikipedia.org/wiki/Kisite-Mpunguti_Marine_National_Park
32,The Maasai Market,4.3,"2,596","Maasai people, shopping, and safari",,https://en.wikipedia.org/wiki/The_Maasai_Market
33,Elephant and Rhino Nursery,4.7,"1,001",Elephant and park,,https://en.wikipedia.org/wiki/Elephant_and_Rhino_Nursery
34,Manda Island,4.5,61,"Ruins, upscale lodging & beaches",,https://en.wikipedia.org/wiki/Manda_Island
35,Nairobi National Museum,4.4,"6,643",Museum,,https://en.wikipedia.org/wiki/Nairobi_National_Museum
36,Mombasa Marine National Park and Reserve,4.4,484,"Park, snorkeling, and nature reserve",,https://en.wikipedia.org/wiki/Mombasa_Marine_National_Park_and_Reserve
37,Arabuko Sokoke National Park,4.3,490,Vast coastal forest preserve with trails,,https://en.wikipedia.org/wiki/Arabuko_Sokoke_National_Park
38,Malindi Marine National Park,4.4,569,"Park, nature reserve, and snorkeling",,https://en.wikipedia.org/wiki/Malindi_Marine_National_Park
39,Sirimon Route,,,"Climbing, mountain, safari, hiking, and adventure",,https://en.wikipedia.org/wiki/Sirimon_Route
40,Nairobi Animal Orphanage,4.3,"1,853",Wildlife rehabilitation spot with tours,,https://en.wikipedia.org/wiki/Nairobi_Animal_Orphanage
41,Thomson's Falls,4.3,"2,046",Waterfall and safari,,https://en.wikipedia.org/wiki/Thomson's_Falls
42,Nairobi Railway Museum,4.4,697,Museum with trains & a mini railroad,,https://en.wikipedia.org/wiki/Nairobi_Railway_Museum
43,Kakamega Forest,4.3,424,"Nature reserve, forest, safari, birdwatching, and rainforest",,https://en.wikipedia.org/wiki/Kakamega_Forest
44,Sibiloi National Park,,,"Park, fossil, safari, and lake",,https://en.wikipedia.org/wiki/Sibiloi_National_Park
45,Bomas of Kenya,4.3,"2,856",Traditional tribal villages on display,,https://en.wikipedia.org/wiki/Bomas_of_Kenya
46,Naboisho Conservancy,4.6,287,"Safari, maasai people, camping, wildebeest, and cheetah",,https://en.wikipedia.org/wiki/Naboisho_Conservancy
47,Taita Hills,4.6,21,"Safari, forest, maasai people, and safari lodge",,https://en.wikipedia.org/wiki/Taita_Hills
48,The Nairobi Arboretum,4.4,"4,064",Quiet setting for picnics & scenery,,https://en.wikipedia.org/wiki/The_Nairobi_Arboretum
49,Nyali Beach,4.4,265,White sand beach for swimming & picnics,,https://en.wikipedia.org/wiki/Nyali_Beach
50,Rusinga Islands,4.5,116,Lake and safari,,https://en.wikipedia.org/wiki/Rusinga_Islands
51,Elephant Orphanage,4.4,32,Elephant,,https://en.wikipedia.org/wiki/Elephant_Orphanage
52,Ewaso Ngiro,4.2,5,"River, safari, elephant, rafting, and camping",,https://en.wikipedia.org/wiki/Ewaso_Ngiro
53,Uhuru Park,4.1,"15,898",National monuments & an artificial lake,,https://en.wikipedia.org/wiki/Uhuru_Park
54,Uhuru Gardens,4.2,"2,533",Historic gardens & Kenya's birthplace,,https://en.wikipedia.org/wiki/Uhuru_Gardens
55,Chale Island,4.7,64,"Safari, chalet, snorkeling, beach, and honeymoon",,https://en.wikipedia.org/wiki/Chale_Island
56,Mzima Springs,4.7,11,"Hippopotamus, park, safari, and rhinoceros",https://lh4.googleusercontent.com/proxy/tS4dUsR12hetHfa2g3o8yxeGxqfeQ13lLP6zv1aq4uUpSSPnzSrUL4IpQKjlLixzs1FX-GwgVfCYuoHl7F17yOjtPlCq99qrP0_6ZXtPPe_x5Re4MaMzDkz5DGxsr9_JHBqZPCOU3MkE9pDGrvk0vpDQAwr2v1e8S5A=w464-h260-n-k-no,https://en.wikipedia.org/wiki/Mzima_Springs
57,Mombasa Island,4.4,147,"Beaches & a quaint, historic town",,https://en.wikipedia.org/wiki/Mombasa_Island
58,Batian,,,"Mountain, climbing, and rock climbing",,https://en.wikipedia.org/wiki/Batian
59,Chalbi Desert,4.7,3,"Desert, safari, lake, and camel",,https://en.wikipedia.org/wiki/Chalbi_Desert
60,Ksite Island,4.9,7,"Park, snorkeling, dolphin, nature reserve, and safari",https://lh6.googleusercontent.com/proxy/mclvRyCs9z2C480MtQcRrJ3E7KMDAP8iy9jS-V_H8yTfxiyFV9tTT9BacPCAWwqUw4Z0NHuYz2ZKJNpgqtR8EAZQ5uZJulVE9ip-zKnp1AVTVQmuW7l77bIlWchGy40XK4jTW7r7Q1qzbey3sFFZtSZuXwqm1gSLTNU=w464-h260-n-k-no,https://en.wikipedia.org/wiki/Ksite_Island
61,Ruma National Park,4.0,162,"Park, game reserve, giraffe, safari, and wildlife",,https://en.wikipedia.org/wiki/Ruma_National_Park
62,Saiwa Swamp National Park,4.2,112,"Park, swamp, safari, and birdwatching",,https://en.wikipedia.org/wiki/Saiwa_Swamp_National_Park
